DMX ID,Light ID,Dome Theta,Dome Phi,Dome X,Dome Y,Dome Z,Pixel U,Pixel V
6,90,1.2347,2.48335,-0.746809,0.329808,0.577497,0.895238,0.393016
4,100,0.813692,3.80243,-0.573814,0.68682,-0.446113,0.105176,0.259006
0,40,0.934499,0.0583437,0.802933,0.594221,0.0468993,0.509286,0.29746
7,40,1.0676,1.95658,-0.329644,0.48223,0.811658,0.8114,0.339827
5,105,0.234635,3.04986,-0.231511,0.972599,0.0212959,0.985401,0.0746867
7,95,0.913181,1.84724,-0.216019,0.611231,0.761402,0.793998,0.290675
1,125,2.23607,5.37063,0.481271,-0.617278,-0.622371,0.354762,0.711765
2,105,0.312191,4.8923,0.0549618,0.951663,-0.302187,0.278634,0.0993734
9,165,2.61603,0.276365,0.482666,-0.86504,0.136895,0.543985,0.832707
8,200,0.219357,1.17041,0.0848161,0.976038,0.200392,0.686276,0.0698234
0,95,0.978008,6.17036,0.824113,0.558676,-0.0933753,0.482044,0.31131
6,125,2.28095,2.24443,-0.473027,-0.651954,0.592622,0.857213,0.72605
2,65,2.90205,5.05647,0.0800356,-0.971446,-0.223355,0.304762,0.92375
6,45,0.699969,2.68531,-0.578292,0.764862,0.283838,0.927381,0.222807
5,65,2.86007,3.11303,-0.277702,-0.960634,0.00793329,0.995455,0.91039
1,45,0.689478,5.55675,0.475539,0.771578,-0.422528,0.384384,0.219468
1,50,0.384644,5.49721,0.265174,0.926932,-0.265479,0.374908,0.122436
5,70,2.62508,3.03845,-0.491226,-0.869547,0.0508479,0.983584,0.835589
6,50,0.454713,2.77699,-0.410333,0.898387,0.156612,0.941971,0.14474
9,10,2.7266,0.605579,0.331483,-0.915121,0.229506,0.596381,0.867905
2,70,2.66426,4.97391,0.118782,-0.888223,-0.443791,0.291623,0.84806
6,130,1.86024,2.33831,-0.665464,-0.285418,0.689706,0.872153,0.592133
0,80,2.0212,6.22228,0.898603,-0.435327,-0.0548,0.490306,0.643367
9,170,2.26185,0.308851,0.734114,-0.63735,0.234227,0.549155,0.719969
1,130,1.8362,5.44155,0.642917,-0.262296,-0.719624,0.366049,0.58448
7,80,2.01492,1.88496,-0.279038,-0.429667,0.858792,0.8,0.641369
5,110,0.0867678,5.17615,0.0387637,0.996238,-0.0775058,0.32381,0.027619
7,90,1.24602,1.92742,-0.330864,0.319097,0.888091,0.806759,0.396621
5,100,0.666787,3.02583,-0.614325,0.785813,0.0714345,0.981576,0.212245
1,120,2.52683,5.4314,0.379881,-0.816911,-0.433989,0.364435,0.804315
0,90,1.16997,6.1893,0.916685,0.390177,-0.0863183,0.485057,0.372414
9,160,2.88906,0.34073,0.235494,-0.968283,0.0834961,0.554229,0.919616
2,100,0.711762,4.7832,0.0462125,0.757212,-0.651532,0.26127,0.226561
6,120,2.63295,2.39582,-0.357725,-0.873408,0.33044,0.881307,0.838095
6,40,1.00453,2.64514,-0.742034,0.536482,0.401961,0.920988,0.319753
1,40,1.05184,5.61205,0.680009,0.495974,-0.539997,0.393186,0.334811
5,75,2.32434,3.07233,-0.727523,-0.684224,0.0504683,0.988977,0.739859
2,75,2.27213,4.95852,0.186143,-0.64524,-0.740956,0.289172,0.723243
9,15,2.51004,0.774684,0.421924,-0.807112,0.412978,0.623295,0.79897
6,135,1.53035,2.33708,-0.692895,0.0404363,0.719904,0.871958,0.487125
2,115,2.77972,4.69743,-0.00529592,-0.935237,-0.353984,0.247619,0.884813
9,175,2.01746,0.269814,0.869264,-0.431957,0.240401,0.542942,0.642177
0,85,1.69048,6.20839,0.990071,-0.119394,-0.0741956,0.488095,0.538095
1,135,1.50455,5.44062,0.66409,0.0662028,-0.744716,0.365901,0.478912
5,115,2.75935,2.87567,-0.359891,-0.927831,0.0980241,0.957677,0.878329
7,85,1.72901,1.85821,-0.279932,-0.157554,0.947003,0.795743,0.550361
8,10,2.77702,1.33533,0.0831816,-0.934276,0.346711,0.712524,0.883953
3,70,2.62307,4.24553,-0.223061,-0.868555,-0.442557,0.175696,0.834951
7,50,0.456659,1.98562,-0.177716,0.897531,0.403554,0.816021,0.145359
4,70,2.5101,3.7817,-0.47348,-0.807148,-0.352604,0.101876,0.79899
0,50,0.322615,6.2563,0.316933,0.94841,-0.0085226,0.495721,0.102692
6,80,2.05539,2.46839,-0.691814,-0.465851,0.551704,0.892857,0.654252
0,130,1.81211,6.04773,0.944233,-0.238976,-0.226528,0.462526,0.576812
8,170,2.26847,0.946104,0.44819,-0.64244,0.621608,0.650577,0.722078
1,80,2.01212,5.63143,0.718848,-0.427132,-0.548466,0.39627,0.640476
7,130,1.84606,1.69048,-0.114899,-0.2718,0.95547,0.769048,0.587619
7,125,2.2444,1.58212,-0.00884778,-0.623806,0.781529,0.751802,0.714414
3,105,0.234566,4.18501,-0.11697,0.972615,-0.200842,0.166066,0.0746648
1,95,0.913555,5.52023,0.572223,0.610935,-0.547101,0.378571,0.290794
9,200,0.180275,0.48295,0.158794,0.983794,0.083266,0.576864,0.0573834
8,165,2.62517,0.950257,0.287114,-0.869593,0.401713,0.651238,0.835619
0,125,2.26893,5.98122,0.731383,-0.642788,-0.227822,0.45194,0.722222
4,105,0.357792,3.80731,-0.275429,0.936672,-0.216297,0.105952,0.113889
6,95,1.0472,2.4913,-0.689276,0.5,0.524307,0.896503,0.333333
0,45,0.673199,0.149974,0.616491,0.781831,0.0931569,0.523869,0.214286
4,65,2.8721,3.78551,-0.212927,-0.963906,-0.159835,0.102483,0.914218
7,45,0.705206,1.94062,-0.234289,0.761478,0.604367,0.808859,0.224474
3,65,2.80384,4.41319,-0.0976715,-0.943503,-0.316643,0.202381,0.892491
4,200,0.352283,3.51897,-0.320762,0.938587,-0.127142,0.0600614,0.112135
5,165,2.63514,2.81612,-0.459609,-0.874472,0.155105,0.9482,0.838792
1,145,0.997492,5.43385,0.554877,0.542411,-0.630794,0.364823,0.317512
2,165,2.6375,4.7351,0.0109672,-0.875611,-0.482893,0.253614,0.839541
3,200,0.348739,4.13287,-0.187128,0.939804,-0.285921,0.157767,0.111007
9,105,0.109611,0.763102,0.0790566,0.993999,0.0756075,0.621451,0.0348901
6,145,1.02526,2.2809,-0.557283,0.51888,0.648228,0.863016,0.326349
0,195,0.762103,5.76942,0.601307,0.723385,-0.339327,0.418231,0.242585
9,65,2.82696,0.572753,0.260081,-0.95091,0.167716,0.591156,0.899849
6,25,1.87498,2.64364,-0.838228,-0.299517,0.455701,0.920748,0.596825
7,195,0.704914,1.53609,0.0224845,0.761668,0.647578,0.744476,0.224381
1,25,1.80325,5.74578,0.835934,-0.230367,-0.498142,0.414469,0.573993
1,30,1.49439,5.7457,0.85649,0.0763283,-0.510488,0.414456,0.47568
7,180,1.69667,1.53004,0.0404195,-0.125538,0.991265,0.743514,0.540066
5,10,2.75871,3.07614,-0.372795,-0.927592,0.0244344,0.989583,0.878125
6,30,1.54387,2.65031,-0.881407,0.0269246,0.471589,0.921809,0.491429
9,70,2.51899,0.614239,0.476556,-0.812366,0.336089,0.597759,0.801821
0,180,1.70322,5.88869,0.915106,-0.132037,-0.380981,0.437213,0.542152
2,10,2.79852,5.10094,0.127437,-0.941727,-0.311304,0.31184,0.890798
6,150,0.791596,2.28546,-0.466273,0.702711,0.537389,0.863742,0.251973
2,170,2.24275,4.57775,-0.105052,-0.622515,-0.775525,0.228571,0.713889
1,150,0.663495,5.31443,0.348783,0.787845,-0.507593,0.345817,0.211197
5,170,2.25431,2.7418,-0.714214,-0.631523,0.30179,0.936371,0.71757
3,15,2.5251,4.34187,-0.209357,-0.815913,-0.538939,0.19103,0.803765
8,75,2.23111,1.21176,0.277515,-0.613367,0.739437,0.692857,0.710185
1,185,1.21977,5.27339,0.499589,0.34386,-0.795092,0.339286,0.388265
7,35,1.32661,2.06689,-0.461871,0.241766,0.85336,0.828955,0.422273
4,15,2.61507,3.81512,-0.392794,-0.864558,-0.313452,0.107195,0.832402
6,185,1.2587,2.18931,-0.551817,0.307054,0.775381,0.84844,0.400657
